,Job Title,Company,City,State
4518,Enterprise Application Developer,"Prowess Consulting, Llc",Seattle,WA
4519,Software Development Manager - Amazon Video,Amazon,Seattle,WA
4520,SQL SSRS Programmer,Populus Group - Troy - HQ,Seattle,WA
4521,IOS Developer,Canvas InfoTech Inc.,Seattle,WA
4522,Business Analyst (work from home),Kelly Services,Seattle,WA
4523,IBM Sterling Order Management System - Developer ~,Costco Wholesale Corporation,Issaquah,WA
4524,Desktop Admin,PanAsia Resources Pte Ltd.,Redmond,WA
4525,"Sr Architect, Systems",T-Mobile,Bellevue,WA
4526,Technical Support Engineer II,Robert Half Technology,Seattle,WA
4527,Load and Performance SDET,Staffing Technologies,Seattle,WA
4528,SharePoint Architect,"Trigent Software, Inc.",Redmond,WA
4529,Quality Manager - PCB Electronics,Superior Group,Everett,WA
4530,SAP/ Scrum Master Consultant,"NetSource, Inc.",Bellevue,WA
4531,Engineer I - Engineering & Construction,CenturyLink,Seattle,WA
4532,"Software Dev Engineer, AWS Continuous Delivery Tools",Amazon,Seattle,WA
4533,SAP FICO Functional Analyst ~,Costco Wholesale Corporation,Issaquah,WA
4534,Business Manager,eXcell,Issaquah,WA
4535,Kafka engineer,Ramp Group,Seattle,WA
4536,Principal Product Manager,Amazon,Seattle,WA
4537,"Database Administrator,Rate-Open Negotiable, 1 year,Olympia, WA",Centizen,Olympia,WA
4538,Warehouse Solutions Business Analyst ~,Costco Wholesale Corporation,Issaquah,WA
4539,Snr. Operations Manager - AWS Support,Amazon,Seattle,WA
4540,Android SDK Developer,Comtech LLC,Seattle,WA
4541,Principal RF Wireless System Engineer,"Ossia, Inc",Bellevue,WA
4542,Software Development Manager - Amazon Video Direct,Amazon,Seattle,WA
4543,Quality Improvement Nurse,The Judge Group,Bothell,WA
4544,Technical Program Manager,Adisys Corporation,Redmond,WA
4545,"Scala Developer, contract Job","Yoh, A Day & Zimmermann Company",Seattle,WA
4546,Systems Engineer,Amazon,Seattle,WA
4547,Build Engineer,SkyKick,Seattle,WA
4548,UI / Visual Designer,eXcell,Redmond,WA
4549,Solution Architect,BayOne Solutions,Seattle,WA
4550,5502_Senior Software Dev Engineer_WA,Collabera,Bellevue,WA
4551,UI Architect,Okaya Inc,Bothell,WA
4552,Software Engineer,Robert Half Technology,Seattle,WA
4553,Business Intelligence Engineer,Amazon,Seattle,WA
4554,C++ Developer,United Software Group,Redmond,WA
4555,"Peoplesoft HR Time & Labor Consultant_Seattle, WA","Bourntec Solutions, Inc.",Seattle,WA
4556,Technical Project Manager with Consulting Experience preferably around Software Implementation,Parmesoft Inc.,Seattle,WA
4557,"Senior Technical Program Manager, Alexa",Amazon,Seattle,WA
4558,Research Scientist,Amazon,Seattle,WA
4559,IT Service Desk Specialist,Robert Half Technology,Seatac,WA
4560,Android Developer,Chameleon Technologies,Kirkland,WA
4561,VBScript SDET,Techgene Solutions LLC,Redmond,WA
4562,IT Audit PCI Manager ~,Costco Wholesale Corporation,Issaquah,WA
4563,Senior Product Manager,Amazon,Seattle,WA
4564,SDET role,Horizon Soft Solutions,Seattle,WA
4565,WMS Quality Assurance (QA) Automation Analyst ~,Costco Wholesale Corporation,Issaquah,WA
4566,"Site Reliability Engineer (Skills: MSSQL,Jenkins, Nexus, Linux, AWS)",MW Partners LLC,Seattle,WA
4567,Senior Project Manager,Idexcel Inc.,Seattle,WA
4568,Lync to Skype for Business (SfB) migration,"Magnum Technologies, Inc.",Seattle,WA
4569,"Sr. Product Manager, AWS Code Services",Amazon,Seattle,WA
4570,Business Intelligence Engineer,Amazon,Seattle,WA
4571,Sr. Release Manager,Primetime Technologies Inc,Seattle,WA
4572,"Senior Software Engineer, Member Engagement Platform",Zulily,Seattle,WA
4573,"Sr. Research Scientist, AWS Greenfield Project",Amazon,Seattle,WA
4574,Software Engineer,Superior Group,Mount Vernon,WA
4575,System Administrator,Kelly Services,Renton,WA
4576,Technical Program Manager,Amazon,Seattle,WA
4577,"Resident Consultant (Automation, WA)",Kaztronix,Redmond,WA
4578,"Software Developer (SDE) or .NET Developer with Ibiza, Azure experience Required",ABAL Technologies Inc,Redmond,WA
4579,Technical Program Manager - AWS Internet of Things (IoT) Team,Amazon,Seattle,WA
4580,Software Design Engineer - Games,eXcell,Redmond,WA
4581,Software Design Engineer 3,"Brillio, LLC",Redmond,WA
4582,ETL Developers,People Tech Group,Seattle,WA
4583,Senior 3D Environment Artist,eXcell,Redmond,WA
4584,Network Operations Engineer,Robert Half Technology,Seatac,WA
4585,Senior Product Manager (Technical),Amazon,Seattle,WA
4586,Software Development Engineer,Amazon,Seattle,WA
4587,Network Engineer L3,"Urpan Technologies, Inc.",Redmond,WA
4588,Senior Java Developer,ECI - Estrada Consulting Inc.,Tumwater,WA
4589,Senior Software Engineer - S3 Webserver,Amazon,Seattle,WA
4590,"Business Intelligence Engineer, Amazon Prime",Amazon,Seattle,WA
4591,Software Development Engineer S3,Amazon,Seattle,WA
4592,Contract Backend PHP/Wordpress Developer,CyberCoders,Seattle,WA
4593,Senior Software Development Engineer - Amazon Instant Video and Studios - TEST,Amazon,Seattle,WA
4594,"Sr Developer, Software",T-Mobile,Bothell,WA
4595,Senior Systems DevOps Engineer - AWS CloudWatch,Amazon,Seattle,WA
4596,Software Design Engineer in Test II - Amazon Alexa (Mobile),Amazon,Seattle,WA
4597,Systems Development Engineer - AWS Relational Database Services,Amazon,Seattle,WA
4598,Software Development Engineer - S3 Webserver,Amazon,Seattle,WA
4599,Scrum Master (SAP environment),"Magnum Technologies, Inc.",Bellevue,WA
4600,Data Scientist,Amazon,Seattle,WA
4601,Sr. Software Development Engineer,Amazon,Seattle,WA
4602,Database Developer,Inspur USA,Seattle,WA
4603,Help Desk Associate,Ramp Group,Bellevue,WA
4604,Software Design Engineer 3,eXcell,Redmond,WA
4605,Java Developer,Cemetrix Inc,Seattle,WA
4606,"Sr Product Manager with (Mobile,Retail)","Agile Enterprise Solutions, Inc.",Bellevue,WA
4607,Systems Reliability Engineer,"Object Technology Solutions, Inc.",Seatac,WA
4608,Sr. SDE,BroadPoint Group,Seattle,WA
4609,COSMOS Developer,CODEFORCE 360,Seattle,WA
4610,Sr TIBCO BW 5.x Developers,Softcom Systems,Bellevue,WA
4611,Tier 2 Technical Support,eXcell,Redmond,WA
4612,Full-Stack Engineer,BroadPoint Group,Seattle,WA
4613,"Software Development Engineer, Alexa Entertainment",Amazon,Seattle,WA
4614,SAP Planning/SCM Analyst-David.Moore@RHT.com,Robert Half Technology,Seattle,WA
4615,Linux Systems Analyst ~,Costco Wholesale Corporation,Issaquah,WA
4616,Microstrategy resources,People Tech Group,Seattle,WA
4617,Network Engineer L3,Ztek Consulting,Redmond,WA
4618,Android Senior Architect,Kaizen Technologies,Seattle,WA
4619,Sr. C/C++ Developer,"Digital Intelligence Systems, LLC",Bellevue,WA
4620,Sr Network Engineers Juniper MX/MPLS/BGP,Case Interactive,Seattle,WA
4621,"Principal Developer, Software",T-Mobile,Bellevue,WA
4622,Mobile SDET,Smartek21,Seattle,WA
4623,"Project Manager/Marketing Background (Report, Excel, PPT)",Resource Logistics,Redmond,WA
4624,Network Engineer III,eXcell,Seattle,WA
4625,Techno Functional Analyst Peoplesoft Financials,MACRO.CCS,Seattle,WA
4626,Software Engineer / Developer / Programmer,Amazon,Seattle,WA
4627,2023_Systems Analyst_WA,Collabera,Bellevue,WA
4628,SAP ABAP APO Consultant,"ServeSolid, Inc",Redmond,WA
4629,Signal Integrity Test Engineer,Zensa,Redmond,WA
4630,Campaign Analytics - Digital media,Apidel Technologies,Seattle,WA
4631,Product Designer 3,eXcell,Redmond,WA
4632,Java Developer (SDE 2/3),Apidel Technologies,Seattle,WA
4633,Graphic Designer 3 - Motion,eXcell,Redmond,WA
4634,Software Developer,"DatamanUSA, LLC",Tumwater,WA
4635,"Senior Architect, Systems",StaffRight Associates,Bellevue,WA
4636,Hardware Quality Technician II,Amazon,Seattle,WA
4637,Senior Frontend Engineer,CyberCoders,Seattle,WA
4638,Sr Software Engineer (NTD),"Nintendo of America, Inc.",Redmond,WA
4639,Identity and Access Management Developer ~,Costco Wholesale Corporation,Issaquah,WA
4640,Senior Application Developer,"Brillio, LLC",Redmond,WA
4641,Information Security Analyst - Encryption (nuBridges) ~,Costco Wholesale Corporation,Issaquah,WA
4642,Senior Network Engineer,Russell Investments,Seattle,WA
4643,Software Development Engineer (Amazon S3),Amazon,Seattle,WA
4644,"Developer, Software",T-Mobile,Bellevue,WA
4645,"Architect, Systems--Financial",T-Mobile,Bellevue,WA
4646,"Sr Engineer, Software Developer",T-Mobile,Bellevue,WA
4647,Cloud Support Engineer (Databases) - Amazon Web Services,Amazon,Seattle,WA
4648,Sr. Technical Program Manager: Network Capacity,Amazon,Seattle,WA
4649,Content Writer,eXcell,Bellevue,WA
4650,Sr. Product Manager - Technical (Level 6),Amazon,Seattle,WA
4651,iOS Developer,Airysoft,Seattle,WA
4652,PMO Director / Deputy PMO,Parmesoft Inc.,Seattle,WA
4653,Web Integration API Developer,Axelerate,Bothell,WA
4654,"C# developer,Rate-Open Negotiable, 1 year,Olympia, WA",Centizen,Olympia,WA
4655,"Sr Architect, Systems-S",T-Mobile,Bellevue,WA
4656,Project Manager Production Artists,Ascent,Seattle,WA
4657,Java Developer - Local to Seattle,InfoObjects Inc,Seattle,WA
4658,Ariba Resource,Idexcel Inc.,Seattle,WA
4659,QA Analyst Enterprise Services ~,Costco Wholesale Corporation,Issaquah,WA
4660,SharePoint Architect,IT-SCIENT,Redmond,WA
4661,Scrum Master (SAP environment),"Magnum Technologies, Inc.",Bellevue,WA
4662,Quality Assurance Engineer - Performance Benchmarks,Amazon,Seattle,WA
4663,Consumer Web Hosting Manager,"Nintendo of America, Inc.",Redmond,WA
4664,Desktop Technician,"ECLAT Integrated Software Solutions, Inc.",Seattle,WA
4665,Software Development Engineer - Digital Royalty Platform,Amazon,Seattle,WA
4666,Android Developer,Kelly Services,Bellevue,WA
4667,"Software Development Engineer, EC2 Networking",Amazon,Seattle,WA
4668,Angular.js Developer,Confidential Company,Bellevue,WA
4669,ABAP Developer-Finance,"Titan Technologies, Inc.",Seattle,WA
4670,Sharepoint Designer,adaQuest,Redmond,WA
4671,Senior Solution Consultant - SharePoint Collaboration & Social,Neudesic,Seattle,WA
4672,SAP APO,Hexagon Talent Capital,Redmond,WA
4673,Helpdesk Technician I,"ConsultNet, LLC",Bothell,WA
4674,Procurement Solution Administrator ~,Costco Wholesale Corporation,Issaquah,WA
4675,"Principal Architect, Systems",T-Mobile,Bellevue,WA
4676,"Sr Developer, Software",T-Mobile,Bothell,WA
4677,Field Service Imaging Engineer Level 3,Sodexo,Seattle,WA
4678,Full Stack Developer,"Atrilogy Solutions Group, Inc.",Bellevue,WA
4679,Sr. Software Engineer,Apidel Technologies,Seattle,WA
4680,Sr. Hardware Quality Engineer,Amazon,Seattle,WA
4681,Software Development Engineer,Amazon,Seattle,WA
4682,Sr. Program Manager-Seattle-Everett,Superior Group,Everett,WA
4683,Oracle Cloud ERP/HCM Project Manager Public Sector,"Sierra-Cedar, Inc.",Seattle,WA
4684,Mobile Device Tester,Denali Advanced Integration,Redmond,WA
4685,Hardware Quality Engineer,Amazon,Seattle,WA
4686,Sales Engineer,RecordPoint,Bellevue,WA
4687,VP Engineering,"Ossia, Inc",Bellevue,WA
4688,Software Test Engineer,Port of Seattle,Seattle,WA
4689,Sr. Full Stack Software Engineer,Serverlogic,Bellevue,WA
4690,Hardware Engineering - Fleet Quality,Amazon,Seattle,WA
4691,"Sr. Product Mgr, Tech - Amazon Video",Amazon,Seattle,WA
4692,"Software Development Engineer, AWS EC2 Networking",Amazon,Seattle,WA
4693,Project Management Specialist,American Oil & Gas,Issaquah,WA
4694,Software Engineering Recruiter (Full Life-Cycle),Valente Global,Redmond,WA
4695,IT Auditor ~,Costco Wholesale Corporation,Issaquah,WA
4696,Procurement Analyst Job,"Yoh, A Day & Zimmermann Company",Everett,WA
4697,Senior Technical Program Manager - Continuous Delivery,Amazon,Seattle,WA
4698,Office 365 Mailbox Migration Engineer,Prospance Inc.,Issaquah,WA
4699,Desktop Support / Regional Tech Coordinator,eXcell,Los Angeles,CA
4700,"Sr. Mgr. Product Manager, AWS Payments and Fraud",Amazon,Seattle,WA
4701,Javascript Developers/Engineers,SCIITS,Seattle,WA
4702,Usability Researcher,Kelly Services,Redmond,WA
4703,CX Interaction Designer,"E*Pro, Inc.",Seattle,WA
4704,"Software Development Manager, Amazon Alexa",Amazon,Seattle,WA
4705,SAP BW BPC Analyst,"R3 Services, LLC",Seattle,WA
4706,BI Solutions Architect,Bridge Partners Consulting,Seattle,WA
4707,Systems Analyst,"Digital Intelligence Systems, LLC",Bellevue,WA
4708,BI Developer/Analyst,Chameleon Technologies,Redmond,WA
4709,Information Systems Manager,Intercity Transit,Olympia,WA
4710,Hardware Quality Engineer,Amazon,Seattle,WA
4711,UI / UX Designer,Collabera,Redmond,WA
4712,Retail Returns Specialist,VIVA USA INC,Seattle,WA
4713,SAP CRM ABAP Developer,"Agreatis, Inc.",Seattle,WA
4714,REMOTE Senior Platform Software Engineer - DevOps,CyberCoders,Seattle,WA
4715,Software Sales Associate,Wallero,Bellevue,WA
4716,Software Development Engineer in Test - Alexa Software,Amazon,Seattle,WA
4717,"Sr Architect, Systems",T-Mobile,Bellevue,WA
4718,Senior Security Engineer,Zulily,Seattle,WA
4719,FullStackDeveloper,eXcell,Bellevue,WA
4720,Sr. Software Engineer (Backend),BroadPoint Group,Seattle,WA
4721,Senior Java Developer,Vegazva Group Company,Seattle,WA
4722,"Amazon S3, Software Development Engineer",Amazon,Seattle,WA
4723,Software Tester,Axelerate,Issaquah,WA
4724,"Role: SAP ABAP Consultant Redmond, Washington Full Time Permanent SA","ServeSolid, Inc",Redmond,WA
4725,Hardware Engineering - Fleet Quality Engineer,Amazon,Seattle,WA
4726,Software Development Engineer - AWS Lifecycle,Amazon,Seattle,WA
4727,Software Developer,Amazon,Seattle,WA
4728,"Principal Developer, Software",T-Mobile,Bellevue,WA
4729,"Architect, Data",T-Mobile,Bothell,WA
4730,SDN Tech Lead Network Services,"Urpan Technologies, Inc.",Philadelphia,PA
4731,Software Development Engineer - AWS S3 Storage I/O,Amazon,Seattle,WA
4732,UI Lead,Yash Technologies,Seattle,WA
4733,3D Artist 2,eXcell,Redmond,WA
4734,UX Designer,Zen3,Redmond,WA
4735,Application Developer - Senior,eXcell,Seattle,WA
4736,Network Engineer,"Urpan Technologies, Inc.",Redmond,WA
4737,Data Analyst I,eXcell,Seattle,WA
4738,SDET Analyst - Sr.,eXcell,Seattle,WA
4739,User Experience (UX) Designer,eXcell,Redmond,WA
4740,SAP Performance Tester,"DEEGIT, INC.",Seattle,WA
4741,SharePoint Migration,LKO Technologies Inc.,Redmond,WA
4742,Aris/ERP consultant,Connexions Data Inc,Seattle,WA
4743,android developer only w2 or 1099,LiveMindz,Seattle,WA
4744,Systems Development Engineering Manager,Amazon,Seattle,WA
4745,Java/Scala Developer,"Atrilogy Solutions Group, Inc.",Bellevue,WA
4746,Java Developer,Xoriant Corporation,Kirkland,WA
4747,Functional Analyst - Return Centers ~,Costco Wholesale Corporation,Issaquah,WA
4748,Systems Admin/Engineer,Kelly Services,Puyallup,WA
4749,Javascript Developer,Chameleon Technologies,Kirkland,WA
4750,"JS Developer - Vanilla JS, UI Components",Ascent,Seattle,WA
4751,Software Development Engineer - Kindle Reverse Logistics,Amazon,Seattle,WA
4752,SAP SD and CS Consultant,Hexagon Talent Capital,Redmond,WA
4753,"Technical Program Manager, Alexa",Amazon,Seattle,WA
4754,SDE -2,SelSoft Inc.,Redmond,WA
4755,Payroll Coordinator,The Judge Group,Federal Way,WA
4756,AWS Virtual Desktop-Systems Engineer,Amazon,Seattle,WA
4757,Systems & Deployment Engineer,Amazon,Seattle,WA
4758,Sr. Cloud Architect(Full-Time),"VDart, Inc.",Bellevue,WA
4759,"Senior Software Development Engineer, EC2 Networking",Amazon,Seattle,WA
4760,Java E-Commerce Developer,Okaya Inc,Bothell,WA
4761,"Sr Developer, Software .NET",T-Mobile,Bellevue,WA
4762,Software Engineer in Test,"ConsultNet, LLC",Seattle,WA
4763,Application Security Support Engineer,Amazon,Seattle,WA
4764,Business Evangelist,Myriad Consulting Inc,Redmond,WA
4765,Build Release Engineer,ApTask,Redmond,WA
4766,S & F Protection Multi Operations Specialist Job,"Yoh, A Day & Zimmermann Company",Everett,WA
4767,Senior Technical Recruiter,eXcell,Bellevue,WA
4768,"Principal Architect, Systems Identity Access Management",T-Mobile,Bothell,WA
4769,"Sr Developer, Software-SDET",T-Mobile,Bellevue,WA
4770,SAP APO -IBP,AKVARR,Seattle,WA
4771,SCCM Packager,eXcell,Mountlake Terrace,WA
4772,"Sr. Manager, Product - Online Video",Kaztronix,Seattle,WA
4773,Principal Product Manager,Amazon,Seattle,WA
4774,Network Engineer,Robert Half Technology,Seattle,WA
4775,Solution Partner Data & Analytics,Neudesic,Seattle,WA
4776,Software Design Engineer 3,eXcell,Redmond,WA
4777,"Software Engineer II, Site Frontend",Zulily,Seattle,WA
4778,"Sr Technical Program Manager, Community Trust",Amazon,Seattle,WA
4779,Sr. Lead QA,Tekmark Global Solutions LLC,Everett,WA
4780,Software Developer III,The Judge Group,Seattle,WA
4781,"Sr Developer, Software",T-Mobile,Bothell,WA
4782,Product Support Specialist,Robert Half Technology,Seattle,WA
4783,Software Design Engineer in Test (SDET),The Judge Group,Seattle,WA
4784,Sr. Software Engineer (Graph + Mobile Backend),TRIAD Group,Seattle,WA
4785,BDM - IT Services,"9Logic Technologies, Inc",Redmond,WA
4786,Systems Development Engineer - Amazon DynamoDB,Amazon,Seattle,WA
4787,"L&I Senior Lead Web User Interface (UI) Developer, ITS 5",State of Washington,Tumwater,WA
4788,Project Manager,Serviont Global Solutions Inc,Seattle,WA
4789,Program Manager,Bridge Partners Consulting,Redmond,WA
4790,IT Operations Manager,Confidential Company,Seattle,WA
4791,SAP BOBJ Development Analyst,Technical Resource Group,Bellevue,WA
4792,"Software Engineer (Angular.js, Node.js, SQL)",TRIAD Group,Seattle,WA
4793,Analyst Team Lead,Aegis Company,Bellevue,WA
4794,BI Manager Req#135624,University of Washington,Seattle,WA
4795,Web Developer - 3823,iSoftStone,Redmond,WA
4796,Unix Software Engineer Req#137067,University of Washington,Seattle,WA
4797,AEM,"Sriven Technologies, LLC",Seattle,WA
4798,Recruitment Specialist,H10 Capital,Seattle,WA
4799,Sr. Software Engineer,NFOLKS LLC,Bellevue,WA
4800,SDE/ Software Design Engineer,C2S Technologies Inc,Bellevue,WA
4801,SDET - Senior,RhythmOne,Bellevue,WA
4802,JAVA Engineer,"Atrilogy Solutions Group, Inc.",Seattle,WA
4803,Data Architect with Telecom exp,"Fusion Solutions, Inc.",Bellevue,WA
4804,"Build Engineer (Jenkins, Java, Scripting)",TRIAD Group,Seattle,WA
4805,"Software Engineer II, Site Frontend",Zulily,Seattle,WA
4806,AEM Developer,Hydrogen UK Limited,Houston,TX
4807,Microstrategy Developer,Nytec Inc,Seattle,WA
4808,BIG DATA Solution Sales Architect (Can Work Remote),TanintCo Inc.,Kirkland,WA
4809,Business Analyst - ISO Power Market,Intone Networks Inc.,Houston,TX
4810,Sr. Consultant/Project Manager,Cambria Solutions,Olympia,WA
4811,.NET/C# Developer,Arthur Lawrence,Houston,TX
4812,Engineering Manager - Developer Platform (Seattle),Uber,Seattle,WA
4813,Senior Java Developer,Vegazva Group Company,Seattle,WA
4814,Test Engineer,Randstad Technologies,Sugar Land,TX
4815,Accessibility Test Engineer (Only Locals),ABAL Technologies Inc,Redmond,WA
4816,Infrastructure Manager,Modis,Spring,TX
4817,Senior PHP Developer for a Leader in Tech,CyberCoders,Spring,TX
4818,Full Stack .Net Developer- .Net- FTE/PERM,TRIAD Group,Seattle,WA
4819,"Principal Data Scientist - SAS, SAP, Big Data Analytics",CyberCoders,Houston,TX
4820,SDET 2/3,C2S Technologies Inc,Bellevue,WA
4821,Lead SDET,TRIAD Group,Seattle,WA
4822,"Senior Manager, IT Training & Communications",,Bothell,WA
4823,Senior Software Engineer - IOS (Rider Experience - Seattle),Uber,Seattle,WA
4824,Robert Half Technology Account Executive TS,Robert Half Technology,The Woodlands,TX
4825,BI Developer/Analyst,Chameleon Technologies,Redmond,WA
4826,SDET,Xoriant Corporation,Redmond,WA
4827,SDE 3,SRI Tech Solutions,Redmond,WA
4828,Project Manager,HCL America Inc.,Redmond,WA
4829,DevOps Engineer,TECH Tammina,Seattle,WA
4830,ATS Sr. Project Engineer,Amazon,Houston,TX
4831,SAP OER and SAP Event Management,Sierra Infosys Inc.,Redmond,WA
4832,Software Developer,Modis,Houston,TX
4833,Citrix Infrastructure Engineer,Arthur Lawrence,Houston,TX
4834,SQL Server DBA,TRIAD Group,Kent,WA
4835,UI/UX Developer,Pro Innovation Inc.,Olympia,WA
4836,Salesforce Developer,Hydrogen UK Limited,Houston,TX
4837,Design Validation Engineer,H10 Capital,Redmond,WA
4838,Oracle BI Senior Sales Consultant,Vidorra Consulting Group,Houston,TX
4839,Automation Engineer- 2 Month project-cannot work with H1B or third parties,Maxsam Partners,Seattle,WA
4840,DevOps Cloud Architect,Amazon,Houston,TX
4841,Senior Software Engineer,Allyis Inc.,Redmond,WA
4842,"Exchange Email Administrator - Houston, TX",Modis,Houston,TX
4843,Software Development Engineer - 3819,iSoftStone,Redmond,WA
4844,.NET / SOA Architect,"Atrilogy Solutions Group, Inc.",Bellevue,WA
4845,Technology Lead - US,Infosys,Houston,TX
4846,VBScript SDET,Techgene Solutions LLC,Redmond,WA
4847,DevOps,RhythmOne,Bellevue,WA
4848,Azure Developer,Collabera,Bellevue,WA
4849,Java w. Hybris Developers,Connexions Data Inc,Seattle,WA
4850,IBM ODM Lead Architect,Randstad Technologies,Houston,TX
4851,DevOps Engineer - Java/Linux environment,TRIAD Group,Seattle,WA
4852,SDET,Amazon,Seattle,WA
4853,"NetSuite Controller - Houston, Texas- $80-$95/Hourly",Nigel Frank International,Houston,TX
4854,"Application Manager - MS Dynamics AX, Team Leadership, Applica",CyberCoders,Houston,TX
4855,Analytics Architect - 3779,iSoftStone,Kirkland,WA
4856,Enterprise Java Developer,West500 Partners,Seattle,WA
4857,Technical Recruiter,Arthur Lawrence,Pearland,TX
4858,UI / JavaScript Developer,"Atrilogy Solutions Group, Inc.",Seattle,WA
4859,Software Engineer,Computer Futures,Houston,TX
4860,Conceptwave expert in Bellevue WA,"Fusion Solutions, Inc.",Bellevue,WA
4861,"Senior Software Engineer, Site",Zulily,Seattle,WA
4862,Principal Architect,Capability IT,Bellevue,WA
4863,Mid-Senior Level C#/C++ Developer (Houston) H1B Sponsorship,Roc Search US,Houston,TX
4864,SDET,Wicresoft,Redmond,WA
4865,Robert Half Technology Senior Recruiter CS,Robert Half Technology,Houston,TX
4866,Business Analyst with 3-5 years Power BI exp,UnifyCloud,Redmond,WA
4867,Mobile Applications Developer - IOS/Android,Ventures Unlimited,Seattle,WA
4868,Application System Administrator,Tommy Bahama,Seattle,WA
4869,SAP FICO Consultant,Strategic IT Staffing,Houston,TX
4870,Teamcenter Integration Consultant,Silverlink Technologies,Bellevue,WA
4871,Front End Developer,s.com,Seattle,WA
4872,BI Data Analyst,Aegis Company,Bellevue,WA
4873,Fantastic Senior SDET- Software Development Engineer in Test- FTE/PERM,TRIAD Group,Seattle,WA
4874,"Senior Software Engineer, Big Data Hadoop",Zulily,Seattle,WA
4875,VP Engineering,"Ossia, Inc",Bellevue,WA
4876,SAP BW/BPC Development Analyst,Technical Resource Group,Bellevue,WA
4877,IT Security Engineer,Rekruiters LLC.,Houston,TX
4878,Web Integration API Developer,Pinkerton,Bothell,WA
4879,Ruby on Rails Developer,Technosoft Corporation,Olympia,WA
4880,SAS Programmer,Broad Reach IT,Seattle,WA
4881,QA Engineer,Hansell Tierney,Tacoma,WA
4882,Principal RF Wireless System Engineer,"Ossia, Inc",Bellevue,WA
4883,Data Scientist - Houston,Amazon,Houston,TX
4884,IT Enterprise Architect,Optima Technologies Inc,Bellevue,WA
4885,Senior Data Engineer,TRIAD Group,Seattle,WA
4886,Security L3,HCL America Inc.,Redmond,WA
4887,UI Architect,Okaya Inc,Bothell,WA
4888,Mid/Sr. Back End Engineer - Java/Scala - Clean Energy Fund - Seattle,BRIDGE NOBLE,Seattle,WA
4889,.Net developer,Adisys Corporation,Seattle,WA
4890,"Senior Software Engineer (.NET) --Houston, TX",Roc Search US,Bunker Hill Village,TX
4891,Software Development Engineer,Amazon,Seattle,WA
4892,Programmers & Software Engineers,Allyis Inc.,Kirkland,WA
4893,Software Engineer,At-Tech Consulting,Kirkland,WA
4894,"Dedicated Support Engineer - Micro Focus, Attachmate products",Micro Focus,Seattle,WA
4895,"SDET - Java, Linux, MySQL (good DB experience)",TRIAD Group,Seattle,WA
4896,Jr PM position,Wicresoft NA,Redmond,WA
4897,Senior Security Consultant - Cisco ISE,CyberCoders,Houston,TX
4898,Senior Infrastructure DevOps Engineer - Remote Developers,10115369,Houston,TX
4899,"Senior Software Engineer, Member Engagement Platform",Zulily,Seattle,WA
4900,"NetSuite Developer - Sugar Land, TX",Nigel Frank International,Sugar Land,TX
4901,Front End Developer,Kforce Inc.,Houston,TX
4902,SDE - Machine Learning,Amazon,Seattle,WA
4903,IOS Developer,Reveille Technologies,Seattle,WA
4904,Site Manager - 3822,iSoftStone,Redmond,WA
4905,"Hyperion System Analyst reqd in Seattle, WA","Endure Technology Solutions, Inc.",Seattle,WA
4906,Sr. SDET,Capability IT,Bellevue,WA
4907,Senior Data Scientist,Zulily,Seattle,WA
4908,Awesome/Unique Senior Software Engineer - FTE/PERM,TRIAD Group,Seattle,WA
4909,Cloud Architect,WesTech,Seattle,WA
4910,Market Intelligence/Candidate Sourcing Specialist,Amazon,Seattle,WA
4911,PeopleSoft Developer,"DatamanUSA, LLC",Seattle,WA
4912,Windows Systems Administrator II-Houston,Harvey Nash USA,Houston,TX
4913,SAP BOBJ BI Analyst,Optima Technologies Inc,Bellevue,WA
4914,"Helpdesk Analyst - Software Support Houston, TX",Modis,Houston,TX
4915,Mobile Test engineer,Etouch Systems Corp,Kirkland,WA
4916,Senior SDET (software development engineer in test),TRIAD Group,Seattle,WA
4917,Technical Project Manager,Versa Project Resources,Seattle,WA
4918,PMO Director,Blue Vector,Seattle,WA
4919,System-Level Test Engineer,"APN Software Services, Inc",Bothell,WA
4920,ASP.NET Developer,CyberCoders,Houston,TX
4921,SR. APPLICATIONS ANALYST,Snohomish County PUD,Everett,WA
4922,Security Engineer,System Soft Technologies,Bellevue,WA
4923,Software Development Engineer,Smartek21,Bellevue,WA
4924,Sr/Principal SDE Java Engineers,"2rbConsulting, Inc.",Bellevue,WA
4925,FIX Functional / Technical Analyst,Arthur Lawrence,Sugar Land,TX
4926,HARDWARE ENGINEER III,"XKL, LLC",Kirkland,WA
4927,"Storage Admin - Automation, Heavy Scripting","PRIMUS Global Services Inc.,",Houston,TX
4928,"Project Manager/Marketing Background (Report, Excel, PPT)",Resource Logistics,Redmond,WA
4929,Senior Software Engineer- C/C++- Computer Vision/RTOS- FTE/PERM,TRIAD Group,Redmond,WA
4930,Technology Lead - US,Infosys,Houston,TX
4931,Project Coordinator In Bellevue WA,"Fusion Solutions, Inc.",Bellevue,WA
4932,Sure shot- Ruby on Rails Lead/Architect,Diverse Lynx Llc,Seattle,WA
4933,"Senior Software Engineer (C++) -Houston, TX",Roc Search US,Bunker Hill Village,TX
4934,PeopleSoft Developer,Elegant Enterprise Wide Solutions,Seattle,WA
4935,Front End Developer,Affirma Consulting,Bellevue,WA
4936,IOS Developer,Canvas InfoTech Inc.,Seattle,WA
