position,company,City,State
Scientist,BioPhase Solutions,SAN,"Diego,"
Market Research Analyst,ResMed,SAN,"Diego,"
Product Manager,Thermo Fisher Scientific,SAN,"Diego,"
Data Scientist,EXPERIAN,SAN,"Diego,"
Data Scientist,Intuit,SAN,"Diego,"
Data Scientist,Motive Interactive,SAN,"Diego,"
Data Scientist,ViaSat,SAN,"Diego,"
Data Scientist,Zebit,SAN,"Diego,"
Data Scientist,Housecall Pro,SAN,"Diego,"
Data Scientist,Teradata,SAN,"Diego,"
Data Scientist,General Dynamics Information Technology,SAN,"Diego,"
Data Scientist,Sony Interactive Entertainment PlayStation,SAN,"Diego,"
Data Scientist,CA Technologies,SAN,"Diego,"
Data Scientist,Alere,SAN,"Diego,"
Product Manager,Sinclair Broadcast Group,SEATTLE,WA
Associate Scientist,Apex Life Sciences,SEATTLE,WA
Data Scientist,Zume Inc.,SEATTLE,WA
Data Scientist,zulily,SEATTLE,WA
Data Scientist,Amazon.com,SEATTLE,WA
Data Scientist,Brillio,SEATTLE,WA
Data Scientist,Suplari,SEATTLE,WA
Data Scientist,HelloWorld,SEATTLE,WA
Data Scientist,Infox Consulting,SEATTLE,WA
Data Scientist,Trader Interactive,SEATTLE,WA
Data Scientist,ePrize,SEATTLE,WA
Data Scientist,DomainTools,SEATTLE,WA
Sr. Data Scientist,Conversica,SEATTLE,WA
Principal Data Scientist,LivePerson - Global Product & Technology,SEATTLE,WA
Principal Data Scientist,SpaceCurve,SEATTLE,WA
Senior Data Scientist,Amazon.com,SEATTLE,WA
Senior Data Scientist,PagerDuty,SEATTLE,WA
Sr. Data Scientist,Celgene Corporation,SEATTLE,WA
Research Scientist,Amazon.com,SEATTLE,WA
Sr. Data Scientist,Convoy,SEATTLE,WA
Lead Data Scientist,2rbConsulting,SEATTLE,WA
Senior Data Scientist,MMT,SEATTLE,WA
Data Engineer,Amazon.com,SEATTLE,WA
Senior Data Scientist,Rover,SEATTLE,WA
Research Scientist,Adobe,SEATTLE,WA
Research Scientist,Lab126,SEATTLE,WA
Sr. Data Scientist,All-In Analytics,SEATTLE,WA
Senior Software Engineer,Amazon.com,SEATTLE,WA
Senior Software Engineer,Demandbase,SEATTLE,WA
Software Development Engineer,Lab126,SEATTLE,WA
Senior Research Analyst,Russell Investments,SEATTLE,WA
Software Development Engineer,Enlearn,SEATTLE,WA
Software Development Engineer,Amazon.com,SEATTLE,WA
Product Manager,Logic20/20,SEATTLE,WA
Market Research Analyst,Penn Schoen Berland,SEATTLE,WA
Machine Learning Engineer,Logic20/20,SEATTLE,WA
Machine Learning Engineer,Dropbox,SEATTLE,WA
Machine Learning Engineer,UiPath,SEATTLE,WA
Research Analyst,D.A. Davidson & Co.,SEATTLE,WA
Senior Data Engineer,Amazon.com,SEATTLE,WA
Machine Learning Engineer,"PitchBook Data, Inc.",SEATTLE,WA
Machine Learning Engineer,Zillow Group,SEATTLE,WA
Machine Learning Engineer,Textio,SEATTLE,WA
Data Engineer,lululemon athletica,SEATTLE,WA
Associate Scientist,Arzeda,SEATTLE,WA
Data Scientist,Klein Hersh International,SEATTLE,WA
Lead Data Scientist,All-In Analytics,SEATTLE,WA
Senior Data Scientist,Smith Hanley Associates,SEATTLE,WA
Machine Learning Engineer,Amazon.com,SEATTLE,WA
Data Engineer,Bizible,SEATTLE,WA
Staff Data Scientist,Course Hero,REDWOOD,"City,"
Data Scientist,CyberCube Analytics,SAN,"Francisco,"
Data Scientist,LendUp,SAN,"Francisco,"
Data Scientist,Juvo,SAN,"Francisco,"
Data Scientist,Thumbtack,SAN,"Francisco,"
Principal Data Scientist,Instacart,SAN,"Francisco,"
Data Scientist,City & County of San Francisco,SAN,"Francisco,"
Data Engineer,Zipcar,SAN,"Mateo,"
Data Engineer,Upgrade,SAN,"Francisco,"
Data Scientist,Woebot,SAN,"Francisco,"
Principal Data Scientist,Electronic Arts,REDWOOD,"City,"
Data Scientist,Esurance,SAN,"Francisco,"
Data Scientist,Skillz Inc.,SAN,"Francisco,"
Data Scientist,Chartboost,SAN,"Francisco,"
Data Scientist,WhereTo,SAN,"Francisco,"
Data Scientist,Infinite Uptime,BERKELEY,CA
Data Scientist,Twist Bioscience,SAN,"Francisco,"
Data Scientist,Bold Metrics,SAN,Francisco
Data Scientist,Nmatrixx,SAN,"Francisco,"
Data Scientist,University of California San Francisco Medical Center,SAN,"Francisco,"
Data Scientist,Niantic Labs,SAN,"Francisco,"
Data Scientist,University of California San Francisco,SAN,"Francisco,"
Data Scientist,"Niantic, Inc.",SAN,"Francisco,"
Data Scientist,TaskRabbit,SAN,"Francisco,"
Data Scientist,Metabiota,SAN,"Francisco,"
Data Scientist,"Grammarly, Inc.",SAN,"Francisco,"
Data Scientist,Pinterest,SAN,"Francisco,"
Data Scientist,Fair Trade USA,OAKLAND,CA
Data Scientist,Near,SAN,"Francisco,"
Data Scientist,Ask Media Group,OAKLAND,CA
Data Scientist,Samba TV,SAN,"Francisco,"
Data Scientist,Twitter,SAN,"Francisco,"
Data Scientist,TransFair USA,OAKLAND,CA
Data Scientist,Sears Holdings Management Corporation,SAN,"Francisco,"
Data Scientist,Circle Internet Financial,SAN,"Francisco,"
Data Scientist,AutoGrid Systems,REDWOOD,"City,"
Senior Data Scientist,Castlight Health,SAN,"Francisco,"
Data Scientist,LendingHome,SAN,"Francisco,"
Data Scientist,Stitch Fix,SAN,"Francisco,"
Data Scientist,ZapLabs LLC,EMERYVILLE,CA
Data Scientist,"Enquero, Inc",SAN,Francisco
Data Scientist,BOLD,SAN,"Francisco,"
Data Scientist,6sense,SAN,"Francisco,"
Data Scientist,Massdrop,SAN,"Francisco,"
Data Scientist,Plaid,SAN,"Francisco,"
Staff Data Scientist,Lyric,SAN,"Francisco,"
Data Scientist,Z Gallerie,BERKELEY,CA
Data Scientist,States Title,SAN,"Francisco,"
Data Scientist,Vituity,EMERYVILLE,CA
Data Scientist,Genentech,SOUTH,San
Data Scientist,LimeBike,SAN,"Francisco,"
Data Scientist,Pocket Gems,SAN,"Francisco,"
Data Scientist,Yelp,SAN,"Francisco,"
Data Scientist,Scaleapi,SAN,"Francisco,"
Data Scientist,Transdev,SOUTH,San
Data Scientist,"Farmer's Business Network, Inc.",SAN,"Carlos,"
Data Scientist,"Williams-Sonoma, Inc.",SAN,"Francisco,"
Data Scientist,ThirdLove,SAN,"Francisco,"
Data Scientist,Clarivate Analytics,SAN,"Francisco,"
Data Scientist,"Zendrive, Inc.",SAN,"Francisco,"
